2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
"111,978.10","119,544.10","113,633.10","108,481.20","110,817.50","107,746.40","114,815.50","108,116.80","95,335.30","94,996.50","90,055.20","76,947.40","86,932.00","81,122.60","88,767.70","98,719.00","98,724.90","100,994.90","92,237.60","101,945.30","97,215.10","87,017.00","88,699.80","98,646.90","100,227.20","86,164.50","78,325.80","86,237.30","91,806.40","81,926.10","72,768.80"
"92,308.90","93,863.60","92,652.10","90,378.30","91,376.20","89,021.70","85,576.00","87,363.80","85,316.10","83,291.10","80,725.60","77,654.20","75,847.10","70,599.50","72,438.00","69,910.70","61,917.80","58,121.00","55,593.60","53,188.70","49,838.20","45,741.60","42,133.60","37,306.50","35,628.60","36,248.70","36,671.60","30,742.60","23,045.80","7,823.39","29,128.40"
"88,835.20","97,712.90","102,734.30","103,549.90","102,998.00","101,167.50","99,960.60","102,910.30","107,320.20","111,220.10","114,167.60","113,246.10","118,718.30","124,432.80","122,553.60","121,893.60","123,786.00","123,372.90","120,209.90","124,341.30","124,716.70","112,359.90","119,767.30","126,005.80","128,483.70","124,519.00","125,199.70","130,982.20","136,842.40","139,757.10","153,149.30"
"87,578.30","89,486.80","87,099.40","87,472.10","87,066.70","85,211.30","82,167.80","76,540.70","75,430.10","68,521.50","60,912.10","54,310.20","53,279.30","50,026.50","43,940.50","38,536.60","37,074.40","34,744.20","32,496.10","28,650.60","28,666.20","29,002.40","26,502.70","25,392.60","20,942.10","19,047.70","18,491.00","16,614.60","14,677.60","14,985.00","12,543.40"
"85,493.10","92,645.00","95,944.60","87,658.00","81,128.90","73,156.90","66,313.10","62,965.70","58,985.20","54,309.90","50,487.60","44,750.00","41,580.80","37,992.30","35,902.80","32,710.80","30,527.50","28,629.80","27,284.20","25,634.50","20,686.70","20,105.50","19,249.50","18,970.90","16,825.30","16,554.48","13,543.45","12,568.40","11,823.48","10,830.76","11,523.73"
"85,364.10","92,989.40","93,523.20","92,587.40","94,171.60","95,096.00","90,362.40","96,550.60","95,275.60","96,488.20","106,872.80","99,904.40","106,715.40","103,905.80","108,081.50","110,960.20","113,350.80","115,502.10","110,850.20","118,339.80","117,274.60","115,514.50","119,412.80","116,634.70","119,448.40","114,568.70","114,901.40","110,108.30","112,329.30","113,960.10","109,312.60"
"84,827.80","91,915.40","86,581.30","87,136.90","86,504.70","82,260.40","76,560.30","82,998.50","78,412.60","76,470.50","69,749.10","65,450.60","67,991.60","64,574.00","57,148.10","55,968.90","54,972.10","50,200.60","49,121.40","48,425.10","50,424.50","54,430.30","52,013.70","51,285.20","44,896.30","38,972.00","35,826.80","32,465.10","30,346.90","29,243.40","30,533.60"
"79,057.60","79,186.70","79,355.20","75,674.00","83,526.20","81,017.20","80,091.00","77,725.40","70,223.20","69,771.10","64,146.10","62,670.60","60,298.10","59,709.90","58,193.00","58,187.00","56,608.90","56,716.00","57,373.00","59,588.30","58,995.50","55,922.10","65,071.40","64,837.00","59,253.30","60,043.30","57,514.50","56,659.90","53,199.40","51,098.70","49,364.40"
"72,509.00","107,502.30","130,158.00","139,787.40","150,466.70","163,126.90","179,236.10","180,422.60","181,128.80","160,039.60","164,101.60","152,586.30","151,112.10","142,388.60","147,532.10","147,374.40","139,606.70","135,770.20","140,747.60","135,800.40","131,516.70","125,458.80","129,300.30","127,590.10","121,835.40","114,036.60","106,529.10","107,387.90","103,107.80","100,992.80","101,630.00"
"71,041.50","75,744.80","75,365.00","71,633.20","72,197.60","70,131.70","66,386.70","63,015.40","60,549.40","53,620.20","47,076.30","43,595.10","41,314.40","42,262.30","39,187.10","31,014.10","31,256.90","31,700.50","29,972.10","28,032.30","25,115.00","21,979.10","19,519.20","20,024.00","19,382.90","18,870.40","16,195.70","15,175.70","14,922.20","15,720.90","11,919.30"
"68,664.00","73,942.80","75,190.20","74,208.10","71,585.20","73,314.40","71,539.00","72,090.60","81,843.80","84,049.50","77,601.90","80,699.20","95,409.10","96,728.60","99,254.30","94,682.90","95,336.30","98,138.20","93,733.00","95,220.80","89,003.10","84,969.40","99,513.50","113,599.20","124,200.90","120,869.90","115,148.30","117,690.80","126,185.70","142,755.20","172,633.60"
"66,719.50","70,986.30","64,286.10","63,014.90","60,289.90","60,362.50","58,691.70","57,595.50","58,076.00","55,923.50","51,749.50","48,765.70","48,630.20","46,341.00","44,991.00","43,579.90","41,009.00","37,251.10","37,470.00","36,273.00","32,876.50","32,198.70","30,634.60","29,903.80","28,484.70","28,791.80","27,712.50","25,577.00","24,879.00","23,119.00","21,497.80"
"63,655.00","63,231.80","63,317.60","63,871.60","64,079.50","63,777.60","62,189.00","63,791.50","66,758.50","65,076.70","59,175.10","52,386.80","59,279.70","58,482.30","51,916.50","50,592.50","49,365.20","46,350.20","41,410.70","39,123.00","38,507.50","37,688.00","31,838.60","30,502.50","30,608.90","33,989.80","33,545.00","26,972.00","28,099.30","37,788.50","44,646.30"
"59,142.40","64,497.80","63,131.40","65,867.70","63,697.10","63,254.70","62,054.50","65,752.70","65,112.00","68,276.00","69,965.10","64,420.70","70,734.70","71,248.00","74,104.40","76,242.40","75,802.10","74,467.90","69,374.20","67,914.40","63,538.60","63,055.10","64,673.10","64,224.10","64,902.90","61,186.40","58,288.20","57,804.00","57,668.00","62,423.20","58,275.70"
"58,471.80","62,796.30","61,424.50","65,906.30","65,233.00","66,314.70","64,717.80","67,002.50","76,063.20","69,822.80","70,520.30","65,727.70","66,708.00","66,597.90","64,331.00","61,012.40","63,159.90","62,925.50","61,080.60","57,952.50","56,997.30","52,983.60","51,504.70","50,967.40","48,734.10","46,775.30","43,361.20","40,504.60","36,857.30","34,523.60","33,805.90"
"54,801.50","57,681.20","59,271.60","56,247.00","55,201.40","54,871.30","59,431.80","59,891.20","59,738.30","58,325.80","61,443.70","57,177.30","60,231.70","57,326.90","58,794.10","56,464.60","55,753.40","52,525.90","51,752.90","51,720.20","52,967.50","54,957.90","57,201.90","59,020.50","58,453.60","57,507.80","64,645.60","76,209.40","87,748.60","96,217.80","99,830.00"
"52,437.20","55,548.40","50,121.30","54,286.00","28,127.70","25,101.50","31,223.30","27,629.10","38,483.40","37,098.90","51,689.80","55,256.90","72,831.50","65,633.80","78,937.10","77,678.20","74,323.70","72,738.20","71,198.00","74,385.10","71,822.90","66,615.40","60,918.60","66,037.90","68,660.50","78,242.30","83,612.60","91,419.30","99,712.10","112,936.20","119,307.50"
